lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
-24.016466804883592,-50.75243660357938,Tibagy/Mococa,Regularizada,127.0,168.0,-41.0,-24.4
-15.448352104439602,-53.86152313966633,Sangradouro/Volta Grande,Regularizada,1817.0,882.0,935.0,106.01
-23.310025883813047,-44.77507089176636,Guarani Araponga,Regularizada,26.0,,,
-22.879282865652716,-44.384426796454406,Guarani de Bracuí,Regularizada,339.0,298.0,41.0,13.76
-7.130611620325073,-49.16838690846776,Xambioá,Regularizada,371.0,325.0,46.0,14.15
-9.635986254452986,-48.31228850768211,Funil,Regularizada,530.0,361.0,169.0,46.81
-6.1172125240504975,-47.620447329349915,Apinayé,Regularizada,2698.0,1878.0,820.0,43.66
-19.217678757834292,-41.30320189903139,Krenak,Regularizada,519.0,257.0,262.0,101.95
-19.03817446730424,-43.11954144245899,Fazenda Guarani,Regularizada,463.0,244.0,219.0,89.75
-14.882801454089577,-44.28832316587733,Xacriabá,Regularizada,7993.0,6977.0,1016.0,14.56
-19.75673416600862,-40.01400376936162,Comboios,Regularizada,,500.0,,
-15.34160634710209,-39.703215083898975,Caramuru/Paraguassu,Regularizada,3022.0,3960.0,-938.0,-23.69
-16.352012113429282,-39.05054501094948,Coroa Vermelha,Regularizada,2476.0,3462.0,-986.0,-28.48
-16.65508924773718,-39.158964365204014,Imbiriba,Regularizada,521.0,395.0,126.0,31.9
-16.154614644071003,-39.00951857094099,Mata Medonha,Regularizada,244.0,194.0,50.0,25.77
-10.429116466907098,-38.77867534127729,Massacara,Regularizada,1023.0,766.0,257.0,33.55
-13.404645751461162,-43.780785387044496,Vargem Alegre,Regularizada,45.0,,,
-16.85818366925933,-39.22831762705112,Barra Velha,Regularizada,3448.0,2989.0,459.0,15.36
-9.39373005196038,-36.58486900779548,Fazenda Canto,Regularizada,699.0,613.0,86.0,14.03
-9.378831702475773,-36.6344312779671,Mata da Cafurna,Regularizada,100.0,391.0,-291.0,-74.42
-9.917256278096568,-36.71721576224134,Tingui Botó,Regularizada,297.0,143.0,154.0,107.69
-10.157000129359544,-36.827855859941344,Kariri-Xocó,Regularizada,1702.0,1949.0,-247.0,-12.67
-9.229354648554807,-38.03419099787933,Geripancó,Regularizada,112.0,632.0,-520.0,-82.28
-10.00964794762167,-36.62533938725996,Karapotó,Regularizada,320.0,392.0,-72.0,-18.37
-8.620928754031059,-53.318255998305446,Menkragnoti,Regularizada,1383.0,1388.0,-5.0,-0.36
-0.12051416267721501,-55.787749685116005,Zo'é,Regularizada,330.0,255.0,75.0,29.41
-5.636919596926699,-52.0377493501403,Apyterewa,Regularizada,767.0,3588.0,-2821.0,-78.62
-5.7402859066601595,-54.58727820353166,Kuruáya,Regularizada,281.0,165.0,116.0,70.3
-3.7435761504792566,-38.69122861346756,Tapeba (1),Declarada,5328.0,,,
-17.616856436751746,-57.73187713010534,Guató,Regularizada,134.0,148.0,-14.0,-9.46
-6.73586267144583,-35.08433194636174,Jacaré de São Domingos,Regularizada,445.0,438.0,7.0,1.6
-8.295067081239228,-38.81807821980975,Atikum,Regularizada,3533.0,3153.0,380.0,12.05
-8.32449231655528,-36.767839650305206,Xukuru,Regularizada,8179.0,7672.0,507.0,6.61
-9.111659784389406,-37.112063084396375,Fulni-ô,Regularizada,5627.0,4463.0,1164.0,26.08
-8.657671376836905,-37.86752221714363,Kambiwá,Regularizada,2931.0,3885.0,-954.0,-24.56
-8.615814655276319,-37.34641656778073,Kapinawá,Regularizada,1413.0,1443.0,-30.0,-2.08
-27.50311798144863,-52.679467250777684,Guarani Votouro,Regularizada,46.0,43.0,3.0,6.98
-23.072910408778093,-55.501201136323324,Guasuti,Regularizada,668.0,533.0,135.0,25.33
-22.92466048999845,-54.60872867737504,Jarara,Homologada,316.0,287.0,29.0,10.1
-22.125235634104953,-54.67026058799054,Panambizinho,Regularizada,381.0,306.0,75.0,24.51
-23.576460954848343,-55.4676870806241,Sete Cerros,Homologada,588.0,378.0,210.0,55.56
-23.762461608982473,-55.16438113317266,Takuaraty/Yvykuarusu,Homologada,950.0,591.0,359.0,60.74
-5.860505518617695,-71.37112522452881,Vale do Javari,Regularizada,5519.0,6802.0,-1283.0,-18.86
-3.3340601878881206,-46.4627009690547,Awa,Regularizada,113.0,365.0,-252.0,-69.04
-4.333702586120952,-54.167779954093575,Cachoeira Seca,Regularizada,404.0,2289.0,-1885.0,-82.35
-10.731492280257912,-58.23576289548282,Japuira,Regularizada,461.0,357.0,104.0,29.13
-10.94195840644768,-57.394918813724466,Apiaka/Kayabi,Regularizada,857.0,797.0,60.0,7.53
-10.584993292924974,-60.82068052274151,Zoró,Regularizada,751.0,626.0,125.0,19.97
-13.728467376583374,-59.93966014157295,Vale do Guaporé,Regularizada,1104.0,1596.0,-492.0,-30.83
-14.76987084520432,-58.647428188214725,Figueiras,Regularizada,,663.0,,
-14.51010060654958,-58.0845322479112,Rio Formoso,Regularizada,188.0,167.0,21.0,12.57
-12.191684878966933,-58.418061318767414,Menkü,Regularizada,146.0,115.0,31.0,26.96
1.1286271552974838,-52.89786563680001,Waiãpi,Regularizada,1665.0,874.0,791.0,90.5
3.5424803461322325,-51.49316017492075,Uaçá,Regularizada,6093.0,4836.0,1257.0,25.99
3.9576332235652814,-51.72438188951072,Galibi,Regularizada,,124.0,,
3.890298536150084,-61.42362310391501,Ananás,Regularizada,26.0,,,
3.4612062303516367,-61.40257256563081,Aningal,Regularizada,264.0,208.0,56.0,26.92
3.363341608660174,-61.14887733724923,Anta,Regularizada,160.0,99.0,61.0,61.62
3.6252035853468265,-61.10515824498133,Araçá,Regularizada,2289.0,1043.0,1246.0,119.46
3.305348313200619,-61.05254828186539,Barata Livramento,Regularizada,820.0,665.0,155.0,23.31
3.4512017680093003,-59.84263935591171,Bom Jesus,Regularizada,50.0,97.0,-47.0,-48.45
3.251255954238142,-61.2951464149525,Boqueirão,Regularizada,466.0,459.0,7.0,1.53
3.7635471390321182,-61.31383788796275,Cajueiro,Regularizada,234.0,112.0,122.0,108.93
2.7790750055497693,-60.50500873989541,Canauanim,Regularizada,1169.0,832.0,337.0,40.5
